Home_TeamID,Away_TeamID,Home_Teamname,Away_Teamname,Home_score,Away_score,Home_scorer,Away_scorer
45,42,England,Democratic Republic of the Congo,2,1,"{""Hri Kin 75'"",""Hri Kin 86'""}","{""Braian Sipnga 7'""}"
13,6,United States,Bosnia and Herzegovina,2,0,"{""Flvrin Balvgan 45'"",""Malik Tillman 82'""}",null
25,34,Belgium,Senegal,3,2,"{""Romelu Lukaku 86'"",""Youri Tielemans 89'"",""Youri Tielemans 125(P)'""}","{""Habib Diarra 25'"",""Ismaïla Sarr 51'""}"
41,46,Portugal,Croatia,2,1,"{""Gvnchalv Ramvs 90+4'""}","{""Ivan Perišić 53'""}"
29,39,Spain,Austria,3,0,"{""Mikel Oyarzabal 36'"",""Pedro Porro 66'"",""Mikel Oyarzabal 89'""}",null
8,38,Switzerland,Algeria,2,0,"{""Breel Embolo 10'"",""Dn Andvi 46'""}",null
37,30,Argentina,Cape Verde,3,2,"{""Lionel Messi 29'"",""Lisandro Martínez 92'"",""Dini Bvrgs 111'""}","{""Drvi Dviart 59'"",""Lvpz Kabral 103'""}"
44,47,Colombia,Ghana,1,0,"{""Jan Arias 14'""}",null
15,26,Australia,Egypt,1,1,"{""Mohamed Hany 55'""}","{""Emam Ashour 13'""}"
14,33,Paraguay,France,0,1,null,null
5,10,Canada,Morocco,0,3,null,"{""Azdin Avnahi 50'"",""Azdin Avnahi 82'"",""Svfian Rhimi 90+8'""}"
9,36,Brazil,Norway,1,2,null,"{""Erling Haaland 79'"",""Erling Haaland 90'""}"
1,45,Mexico,England,2,3,"{""Jvlian Kviinvnz 42'""}","{""Jvd Blingham 36'"",""Jvd Blingham 38'""}"
41,29,Portugal,Spain,0,1,null,"{""Mikel Merino 90+1'""}"
13,25,United States,Belgium,1,4,"{""Malik Tillman 31'""}","{""Sharl D Ktlar 9'"",""Sharl D Ktlar 33'"",""Hans Vanaken 57'"",""Romelu Lukaku 90+3'""}"
37,26,Argentina,Egypt,3,2,"{""Cristian Romero 79'"",""Lionel Messi 83'"",""Enzo Fernández 90+2'""}","{""Yasser Ibrahim 15'"",""Mostafa Ziko 67'""}"
8,44,Switzerland,Colombia,0,0,null,null
33,10,France,Morocco,2,0,"{""Kylian Mbappé 60'"",""Ousmane Dembélé 66'""}",null
29,25,Spain,Belgium,2,1,"{""Fabin Rviz 30'"",""Mikel Merino 88'""}","{""Sharl D Ktlar 41'""}"
36,45,Norway,England,1,2,"{""Andrias Shldrvp 36'""}","{""Jvd Blingham 45+2'"",""Jvd Blingham 93'""}"
37,8,Argentina,Switzerland,3,1,"{""Alexis Mac Allister 10'"",""Khvlin Alvarz 112'"",""Lautaro Martínez 120+1'""}","{""Dn Andvi 67'""}"
33,29,France,Spain,0,2,null,"{""Pedro Porro 58'""}"
45,37,England,Argentina,1,2,"{""Antvni Gvrdvn 55'""}","{""Enzo Fernández 85'"",""Lautaro Martínez 90+2'""}"
0,0,,,0,0,null,null
0,0,,,0,0,null,null
